date2,unixtime,adm0_a3,nyt_name,lat,lon,jhu_location,jhu_sublocation,active,in_region_table,in_country_count,travel_warning,source,override_count,override_deaths,override_date,override_fixed,mobile_table_name,world_map_label_name,world_map_label,world_map_label_desktop_only,asia_map_label,asia_map_label_desktop_only,eu_map_label,eu_map_label_desktop_only,label_offset_y,sentence_name,label,confirmed,deaths,recovered
Mon Mar  9 13:50:22 PDT 2020,1583787022,CHN,,39.13,117.01,Mainland China,Tianjin,True,,,,,,,,,,,,,,,,,,,Tianjin (Mainland China),136,3,130
Mon Mar  9 13:50:22 PDT 2020,1583787022,CHN,,26.91,105.48,Mainland China,Guizhou,True,,,,,,,,,,,,,,,,,,,Guizhou (Mainland China),146,2,123
Mon Mar  9 13:50:22 PDT 2020,1583787022,SGP,Singapore,1.352,103.82,Singapore,,True,True,True,,,,,,,Singapore,Singapore,True,True,right,,,,,,Singapore,150,0,78
Mon Mar  9 13:50:22 PDT 2020,1583787022,CHN,,19.15,109.37,Mainland China,Hainan,True,,,,,,,,,,,,,,,,,,,Hainan (Mainland China),168,6,159
Mon Mar  9 13:50:22 PDT 2020,1583787022,CHN,,24.64,101.29,Mainland China,Yunnan,True,,,,,,,,,,,,,,,,,,,Yunnan (Mainland China),174,2,170
Mon Mar  9 13:50:22 PDT 2020,1583787022,NOR,Norway,60.472,8.469,Norway,,True,True,True,,,,,,,Norway,Norway,,,,,True,,,,Norway,205,0,1
Mon Mar  9 13:50:22 PDT 2020,1583787022,BEL,Belgium,50.504,4.47,Belgium,,True,True,True,,,,,,,Belgium,Belgium,,,,,,,,,Belgium,239,0,1
Mon Mar  9 13:50:22 PDT 2020,1583787022,CHN,,35.63,106.12,Mainland China,Shaanxi,True,,,,,,,,,,,,,,,,,,,Shaanxi (Mainland China),245,1,227
Mon Mar  9 13:50:22 PDT 2020,1583787022,SWE,Sweden,60.128,18.644,Sweden,,True,True,True,,,,,,,Sweden,Sweden,,,,,,,,,Sweden,248,0,1
Mon Mar  9 13:50:22 PDT 2020,1583787022,CHN,,23.72,108.66,Mainland China,Guangxi,True,,,,,,,,,,,,,,,,,,,Guangxi (Mainland China),252,2,230
Mon Mar  9 13:50:22 PDT 2020,1583787022,CHN,,25.92,117.17,Mainland China,Fujian,True,,,,,,,,,,,,,,,,,,,Fujian (Mainland China),296,1,295
Mon Mar  9 13:50:22 PDT 2020,1583787022,CHN,,38.48,115.24,Mainland China,Hebei,True,,,,,,,,,,,,,,,,,,,Hebei (Mainland China),318,6,307
